,rates,names,names,names.1
258,3.320856,258.0,LTL,
259,0.680302,259.0,LVL,
260,5.331142,260.0,LYD,
261,10.805062,261.0,MAD,
262,20.215748,262.0,MDL,
263,5067.184953,263.0,MGA,
264,61.600092,264.0,MKD,
265,2355.921055,265.0,MMK,
266,3876.351795,266.0,MNT,
267,9.031247,267.0,MOP,
268,401.506675,268.0,MRO,
269,50.861819,269.0,MUR,
270,17.331576,270.0,MVR,
271,1182.609779,271.0,MWK,
272,18.833546,272.0,MXN,
273,5.090296,273.0,MYR,
274,71.135745,274.0,MZN,
275,20.424415,275.0,NAD,
276,873.309747,276.0,NGN,
277,41.0334,277.0,NIO,
278,11.304403,278.0,NOK,
279,147.40629,279.0,NPR,
280,1.765433,280.0,NZD,
281,0.43225,281.0,OMR,
282,1.12182,282.0,PAB,
283,4.011655,283.0,PEN,
284,4.061347,284.0,PGK,
285,61.126187,285.0,PHP,
286,307.392357,286.0,PKR,
287,4.461809,287.0,PLN,
288,8138.690907,288.0,PYG,
289,4.094963,289.0,QAR,
290,4.943825,290.0,RON,
291,117.257139,291.0,RSD,
292,101.501806,292.0,RUB,
293,1309.689339,293.0,RWF,
294,4.220498,294.0,SAR,
295,9.412116,295.0,SBD,
296,14.951394,296.0,SCR,
297,676.4926,297.0,SDG,
298,11.416657,298.0,SEK,
299,1.48558,299.0,SGD,
300,1.368442,300.0,SHP,
301,22.476269,301.0,SLE,
302,22212.215089,302.0,SLL,
303,639.378504,303.0,SOS,
304,42.854958,304.0,SRD,
305,23278.379654,305.0,STD,
306,9.816421,306.0,SVC,
307,2825.763732,307.0,SYP,
308,20.233745,308.0,SZL,
309,38.933838,309.0,THB,
310,12.278825,310.0,TJS,
311,3.936342,311.0,TMT,
312,3.413413,312.0,TND,
313,2.610526,313.0,TOP,
314,29.432932,314.0,TRY,
315,7.616775,315.0,TTD,
316,34.68986,316.0,TWD,
317,2744.058623,317.0,TZS,
318,41.223069,318.0,UAH,
319,4115.338056,319.0,UGX,
320,1.124669,320.0,USD,
321,42.783118,321.0,UYU,
322,12988.910759,322.0,UZS,
323,3190514.035713,323.0,VEF,
324,31.963158,324.0,VES,
325,26589.989177,325.0,VND,
326,131.250731,326.0,VUV,
327,3.021638,327.0,WST,
328,655.851508,328.0,XAF,
329,0.045129,329.0,XAG,
330,0.000575,330.0,XAU,
331,3.039475,331.0,XCD,
332,0.835766,332.0,XDR,
333,655.851508,333.0,XOF,
334,120.171302,334.0,XPF,
335,281.561318,335.0,YER,
336,20.362252,336.0,ZAR,
337,10123.375531,337.0,ZMK,
338,20.866644,338.0,ZMW,
339,362.142991,339.0,ZWL,
340,4.131027,AED,,
341,96.584465,AFN,,
342,103.283387,ALL,,
343,437.629608,AMD,,
344,2.021875,ANG,,
345,926.402426,AOA,,
346,297.54874,ARS,,
347,1.644494,AUD,,
348,2.027216,AWG,,
349,1.916402,AZN,,
350,1.955485,BAM,,
351,2.265136,BBD,,
352,122.030372,BDT,,
353,1.955685,BGN,,
354,0.423232,BHD,,
355,3173.789502,BIF,,
356,1.124669,BMD,,
357,1.481462,BND,,
358,7.751753,BOB,,
359,5.401488,BRL,,
360,1.12182,BSD,,
361,3.70602e-05,BTC,,
362,92.128881,BTN,,
363,14.722632,BWP,,
364,2.831745,BYN,,
365,22043.514343,BYR,,
366,2.261336,BZD,,
367,1.487657,CAD,,
368,2772.309736,CDF,,
369,0.970887,CHF,,
370,0.033178,CLF,,
371,910.303579,CLP,,
372,8.031379,CNY,,
373,4597.460507,COP,,
374,610.301834,CRC,,
375,1.124669,CUC,,
376,29.803731,CUP,,
377,110.242268,CVE,,
378,23.816837,CZK,,
379,199.747871,DJF,,
380,7.461509,DKK,,
381,62.779902,DOP,,
382,150.919725,DZD,,
383,34.69242,EGP,,
384,16.870036,ERN,,
385,61.751567,ETB,,
386,1.0,EUR,,
387,2.450884,FJD,,
388,0.857773,FKP,,
389,0.859116,GBP,,
390,2.896068,GEL,,
391,0.857773,GGP,,
392,12.760947,GHS,,
393,0.857773,GIP,,
